job_id,job_title,company_name,location,industry,employment_type,experience_level,posting_date,job_description,required_skills,degree_required,degrees_accepted,min_salary,max_salary,avg_salary
54,Education Coordinator,Barnardo’s,"Edinburgh, UK",Education,Temporary,Manager,11/1/2025,"Coordinate educational programmes, support stakeholders and maintain accurate records, communication and scheduling. Key requirements include organisation, communication, presentation, and stakeholder management.","organisation, communication, presentation, stakeholder management, reporting",BA Education,BA Education; MBA; BSc Psychology; BSc Sociology,35000,55000,45000
55,Curriculum Developer,Pearson,"Oxford, UK",Education,Part-time,Graduate,10/30/2025,"Design curriculum materials, align learning outcomes and support high-quality educational content development. Key requirements include writing, research, presentation, and communication.","writing, research, presentation, communication, organisation",BA Education,BA Education; MSc Curriculum Studies; BA English; BSc Psychology,38000,62000,50000
56,Academic Advisor,UCL,"Southampton, UK",Education,Part-time,Associate,10/13/2025,"Advise students on academic planning and progression while supporting pastoral care and accurate record keeping. Key requirements include communication, organisation, presentation, and safeguarding.","communication, organisation, presentation, safeguarding, reporting",BA Education,BA Education; MSc Psychology; BSc Sociology; BA Business Management,38000,60000,49000
57,Software Engineer,BT,"Cardiff, UK",Technology,Full-time,Principal,10/23/2025,"Design, develop and maintain software applications, collaborating with cross-functional teams to deliver reliable and scalable products. Key requirements include python, java, sql, and git.","python, java, sql, git, agile",BSc Computer Science,BSc Computer Science; MEng Software Engineering; BSc Information Technology; BSc Cybersecurity,80000,130000,105000
58,Architect,Foster + Partners,"Reading, UK",Architecture,Full-time,Mid-level,11/18/2025,"Develop architectural concepts, prepare design documentation and collaborate with clients and consultants on building projects. Key requirements include autocad, revit, bim, and cad.","autocad, revit, bim, cad, presentation",BArch Architecture,BArch Architecture; MA Interior Design; MA Urban Design; BEng Civil Engineering,47000,63000,55000
59,HR Manager,NHS,"Belfast, UK",Human Resources,Full-time,Manager,10/19/2025,"Lead HR operations, support people strategy and ensure consistent employee relations, policy and organisational support. Key requirements include leadership, communication, stakeholder management, and change management.","leadership, communication, stakeholder management, change management, reporting",BA Human Resource Management,BA Human Resource Management; MBA; BSc Psychology; BSc Management,55000,90000,72500
60,Environmental Engineer,AECOM,"Liverpool, UK",Environmental Services,Full-time,Entry Level,10/23/2025,"Deliver engineering solutions for environmental challenges, support compliance and contribute to sustainable project delivery. Key requirements include data analysis, reporting, risk management, and problem solving.","data analysis, reporting, risk management, problem solving, research",BEng Environmental Engineering,BEng Environmental Engineering; MEng Civil Engineering; BEng Mechanical Engineering; BSc Geography,29000,39000,34000
61,Lecturer,University of Bristol,"Hybrid, UK",Education,Part-time,Entry Level,12/30/2025,"Deliver teaching, contribute to curriculum development and support student learning through scholarship and effective communication. Key requirements include presentation, research, communication, and writing.","presentation, research, communication, writing, leadership",BA Education,BA Education; MSc Education; BSc Psychology; BA English,45000,72000,58500
62,Biomedical Engineer,Siemens Healthineers,"Liverpool, UK",Healthcare Technology,Full-time,Senior,10/28/2025,"Support the design, testing and maintenance of biomedical equipment and healthcare technologies. Key requirements include data analysis, reporting, problem solving, and research.","data analysis, reporting, problem solving, research, communication",BEng Biomedical Engineering,BEng Biomedical Engineering; MEng Electrical Engineering; BEng Mechanical Engineering; BSc Health Sciences,65000,105000,85000
63,Educational Psychologist,Barnardo’s,"London, UK",Education,Temporary,Manager,10/24/2025,"Assess learning and developmental needs, support interventions and work with families and educators to improve outcomes. Key requirements include clinical assessment, communication, safeguarding, and research.","clinical assessment, communication, safeguarding, research, reporting",BSc Psychology,BSc Psychology; MSc Educational Psychology; BA Education; BSc Health Sciences,50000,85000,67500
64,Paralegal,Irwin Mitchell,"Glasgow, UK",Legal,Temporary,Graduate,12/3/2025,"Support legal teams through research, document preparation and case or transaction administration. Key requirements include legal research, writing, organisation, and communication.","legal research, writing, organisation, communication, due diligence",LLB Law,LLB Law; MA Criminology; BA Business Management; BA Politics,28000,45000,36500
65,Construction Manager,Kier Group,"Southampton, UK",Construction,Part-time,Graduate,10/4/2025,"Oversee construction delivery, coordinate contractors and ensure projects meet safety, quality and schedule requirements. Key requirements include stakeholder management, risk management, leadership, and reporting.","stakeholder management, risk management, leadership, reporting, communication",BSc Construction Management,BSc Construction Management; MEng Civil Engineering; BArch Architecture; BSc Project Management,36000,49000,42250
66,Plumber,Mitie,"Newcastle, UK",Engineering Services,Full-time,Senior,11/19/2025,"Install and maintain plumbing systems, diagnose faults and complete repair work to required safety and quality standards. Key requirements include troubleshooting, problem solving, communication, and reporting.","troubleshooting, problem solving, communication, reporting, risk management",Level 2 Plumbing Diploma,Level 2 Plumbing Diploma; Water Regulations qualification; BEng Civil Engineering; MSc Building Services; BSc Construction Management,38000,60000,49000
67,Aerospace Engineer,Rolls-Royce,"Belfast, UK",Engineering,Temporary,Manager,11/19/2025,"Design, test and improve aerospace systems and components while supporting safety, compliance and technical documentation. Key requirements include matlab, cad, fea, and problem solving.","matlab, cad, fea, problem solving, reporting",BEng Aerospace Engineering,BEng Aerospace Engineering; MEng Mechanical Engineering; BEng Electrical Engineering; BSc Physics,65000,110000,87500
68,Structural Engineer,AECOM,"Cambridge, UK",Engineering,Full-time,Manager,12/7/2025,"Design and assess structural systems, produce technical documentation and support safe, compliant construction outcomes. Key requirements include cad, revit, fea, and problem solving.","cad, revit, fea, problem solving, reporting",BEng Civil Engineering,BEng Civil Engineering; MEng Structural Engineering; BArch Architecture; BEng Mechanical Engineering,75000,135000,105000
69,Solicitor,Pinsent Masons,"Southampton, UK",Legal,Temporary,Executive,12/25/2025,"Advise clients on legal matters, draft documents and support case or transaction work with strong attention to detail. Key requirements include legal research, contract drafting, compliance, and writing.","legal research, contract drafting, compliance, writing, communication",LLB Law,LLB Law; MA Criminology; BA Business Management; BA Politics,70000,160000,115000
70,Lecturer,University of Bristol,"Liverpool, UK",Education,Contract,Manager,10/22/2025,"Deliver teaching, contribute to curriculum development and support student learning through scholarship and effective communication. Key requirements include presentation, research, communication, and writing.","presentation, research, communication, writing, leadership",BA Education,BA Education; MSc Education; BSc Psychology; BA English,50000,80000,65000
71,Doctor (General Practitioner),Bupa,"Leeds, UK",Healthcare,Full-time,Specialist,11/16/2025,"Provide primary care consultations, assess patients and coordinate treatment plans in line with clinical standards. Key requirements include patient care, clinical assessment, communication, and safeguarding.","patient care, clinical assessment, communication, safeguarding, reporting",MBBS Medicine,MBBS Medicine; MSc Medical Sciences; BSc Biomedical Science; BSc Health Sciences,75000,130000,102500
72,UX/UI Designer,Skyscanner,"Edinburgh, UK",Technology,Full-time,Senior,11/6/2025,"Design user interfaces and user journeys that improve usability, accessibility and engagement across digital products. Key requirements include research, presentation, communication, and critical thinking.","research, presentation, communication, critical thinking",BSc User Experience Design,BSc User Experience Design; MA Graphic Design; BSc Digital Media; BSc Computer Science,60000,90000,75000
73,Financial Advisor,Barclays,"Bristol, UK",Finance,Temporary,Principal,11/3/2025,"Provide financial guidance, assess client needs and support planning decisions through clear communication and analysis. Key requirements include financial modelling, forecasting, communication, and risk analysis.","financial modelling, forecasting, communication, risk analysis, reporting",BSc Finance,BSc Finance; MSc Economics; BA Business Management; BSc Accounting,50000,120000,85000
74,Video Producer,Sky,"Newcastle, UK",Media & Publishing,Part-time,Manager,12/19/2025,"Plan and produce video content from concept to delivery, coordinating contributors and maintaining quality outputs. Key requirements include organisation, communication, presentation, and stakeholder management.","organisation, communication, presentation, stakeholder management, writing",BA Media Production,BA Media Production; MA Film Production; BSc Digital Media; BSc Media and Communication,45000,80000,62500
75,Risk Manager,Aviva,"Leeds, UK",Finance,Contract,Mid-level,11/5/2025,"Monitor and assess risk exposure, support governance processes and contribute to mitigation and reporting activity. Key requirements include risk analysis, risk management, reporting, and forecasting.","risk analysis, risk management, reporting, forecasting, communication",BSc Finance,BSc Finance; MSc Economics; BA Business Management; BSc Mathematics,65000,130000,97500
76,Management Consultant,McKinsey,"Remote, UK",Business Consulting,Full-time,Mid-level,1/17/2026,"Analyse business problems, structure recommendations and support transformation or strategy projects for clients. Key requirements include stakeholder management, presentation, business analysis, and strategic planning.","stakeholder management, presentation, business analysis, strategic planning, communication",BA Business Management,BA Business Management; MSc Management; BSc Economics; BSc Computer Science,70000,150000,110000
77,Doctor (General Practitioner),Bupa,"Leeds, UK",Healthcare,Part-time,Mid-level,10/31/2025,"Provide primary care consultations, assess patients and coordinate treatment plans in line with clinical standards. Key requirements include patient care, clinical assessment, communication, and safeguarding.","patient care, clinical assessment, communication, safeguarding, reporting",MBBS Medicine,MBBS Medicine; MSc Medical Sciences; BSc Biomedical Science; BSc Health Sciences,70000,125000,97500
